MBBY, 20250423, 100
MBBY, 20250424, 100
MBBY, 20250425, 100
MBBY, 20250426, 99.992
MBBY, 20250427, 100
MBBY, 20250428, 99.992
MBBY, 20250429, 99.98
MBBY, 20250430, 99.992
MBBY, 20250501, 99.992
MBBY, 20250502, 99.8
MBBY, 20250503, 99.992
MBBY, 20250504, 99.992
MBBY, 20250505, 100
MBBY, 20250506, 99.994
MBBY, 20250507, 99.988
MBBY, 20250508, 100
MBBY, 20250509, 99.994
MBBY, 20250510, 99.991
MBBY, 20250511, 99.849
MBBY, 20250512, 99.439
MBBY, 20250513, 98.069
MBFL, 20250423, 100
MBFL, 20250424, 99.989
MBFL, 20250425, 99.99
MBFL, 20250426, 99.982
MBFL, 20250427, 98.707
MBFL, 20250428, 99.991
MBFL, 20250429, 100
MBFL, 20250430, 99.992
MBFL, 20250501, 99.953
MBFL, 20250502, 99.785
MBFL, 20250503, 99.948
MBFL, 20250504, 99.858
MBFL, 20250505, 99.232
MBFL, 20250506, 99.816
MBFL, 20250507, 99.952
MBFL, 20250508, 99.993
MBFL, 20250509, 99.993
MBFL, 20250510, 99.586
MBFL, 20250511, 99.66
MBFL, 20250512, 99.416
MBFL, 20250513, 97.773
MBFR, 20250423, 100
MBFR, 20250424, 99.988
MBFR, 20250425, 99.987
MBFR, 20250426, 99.966
MBFR, 20250427, 99.96
MBFR, 20250428, 99.957
MBFR, 20250429, 99.952
MBFR, 20250430, 99.924
MBFR, 20250501, 99.936
MBFR, 20250502, 99.801
MBFR, 20250503, 99.939
MBFR, 20250504, 99.92
MBFR, 20250505, 99.901
MBFR, 20250506, 99.884
MBFR, 20250507, 99.937
MBFR, 20250508, 99.931
MBFR, 20250509, 99.912
MBFR, 20250510, 99.902
MBFR, 20250511, 99.859
MBFR, 20250512, 99.441
MBFR, 20250513, 98.072
MBGB, 20250423, 100
MBGB, 20250424, 99.987
MBGB, 20250425, 99.984
MBGB, 20250426, 99.964
MBGB, 20250427, 99.954
MBGB, 20250428, 99.953
MBGB, 20250429, 72.013
MBGB, 20250430, 99.903
MBGB, 20250501, 99.929
MBGB, 20250502, 98.915
MBGB, 20250503, 99.928
MBGB, 20250504, 99.907
MBGB, 20250505, 99.866
MBGB, 20250506, 99.872
MBGB, 20250507, 99.93
MBGB, 20250508, 99.918
MBGB, 20250509, 99.878
MBGB, 20250510, 99.775
MBGB, 20250511, 86.165
MBGB, 20250512, 52.543
MBGB, 20250513, 0
MBGH, 20250423, 100
MBGH, 20250424, 99.986
MBGH, 20250425, 99.982
MBGH, 20250426, 99.961
MBGH, 20250427, 99.939
MBGH, 20250428, 99.946
MBGH, 20250429, 99.931
MBGH, 20250430, 99.892
MBGH, 20250501, 99.911
MBGH, 20250502, 99.894
MBGH, 20250503, 99.982
MBGH, 20250504, 99.892
MBGH, 20250505, 99.984
MBGH, 20250506, 99.863
MBGH, 20250507, 99.905
MBGH, 20250508, 99.903
MBGH, 20250509, 99.841
MBGH, 20250510, 99.869
MBGH, 20250511, 99.666
MBGH, 20250512, 99.321
MBGH, 20250513, 98.664
MBHA, 20250423, 0
MBHA, 20250424, 0
MBHA, 20250425, 0
MBHA, 20250426, 0
MBHA, 20250427, 0
MBHA, 20250428, 0
MBHA, 20250429, 0
MBHA, 20250430, 0
MBHA, 20250501, 0
MBHA, 20250502, 0
MBHA, 20250503, 0
MBHA, 20250504, 0
MBHA, 20250505, 0
MBHA, 20250506, 0
MBHA, 20250507, 0
MBHA, 20250508, 0
MBHA, 20250509, 0
MBHA, 20250510, 0
MBHA, 20250511, 0
MBHA, 20250512, 0
MBHA, 20250513, 0
MBLG, 20250423, 99.433
MBLG, 20250424, 99.264
MBLG, 20250425, 99.97
MBLG, 20250426, 57.878
MBLG, 20250427, 94.499
MBLG, 20250428, 99.902
MBLG, 20250429, 99.866
MBLG, 20250430, 99.435
MBLG, 20250501, 70.824
MBLG, 20250502, 84.167
MBLG, 20250503, 99.91
MBLG, 20250504, 98.544
MBLG, 20250505, 99.628
MBLG, 20250506, 99.368
MBLG, 20250507, 99.888
MBLG, 20250508, 97.565
MBLG, 20250509, 99.166
MBLG, 20250510, 99.734
MBLG, 20250511, 97.758
MBLG, 20250512, 99.292
MBLG, 20250513, 91.21
MBLY, 20250423, 100
MBLY, 20250424, 99.983
MBLY, 20250425, 99.981
MBLY, 20250426, 99.94
MBLY, 20250427, 99.988
MBLY, 20250428, 99.988
MBLY, 20250429, 99.992
MBLY, 20250430, 99.974
MBLY, 20250501, 99.989
MBLY, 20250502, 99.753
MBLY, 20250503, 99.905
MBLY, 20250504, 99.974
MBLY, 20250505, 99.828
MBLY, 20250506, 99.973
MBLY, 20250507, 99.991
MBLY, 20250508, 99.97
MBLY, 20250509, 99.977
MBLY, 20250510, 99.961
MBLY, 20250511, 99.755
MBLY, 20250512, 99.379
MBLY, 20250513, 98.044
MBRV, 20250423, 73.971
MBRV, 20250424, 75.257
MBRV, 20250425, 76.775
MBRV, 20250426, 81.424
MBRV, 20250427, 96.556
MBRV, 20250428, 81.628
MBRV, 20250429, 77.62
MBRV, 20250430, 78.705
MBRV, 20250501, 77.547
MBRV, 20250502, 75.841
MBRV, 20250503, 67.369
MBRV, 20250504, 73.693
MBRV, 20250505, 71.721
MBRV, 20250506, 80.679
MBRV, 20250507, 71.963
MBRV, 20250508, 65.852
MBRV, 20250509, 69.047
MBRV, 20250510, 65.816
MBRV, 20250511, 79.333
MBRV, 20250512, 91.202
MBRV, 20250513, 82.046
MBRY, 20250423, 94.826
MBRY, 20250424, 95.464
MBRY, 20250425, 94.744
MBRY, 20250426, 95.076
MBRY, 20250427, 95.694
MBRY, 20250428, 94.95
MBRY, 20250429, 94.599
MBRY, 20250430, 95.87
MBRY, 20250501, 95.226
MBRY, 20250502, 92.457
MBRY, 20250503, 91.648
MBRY, 20250504, 95.61
MBRY, 20250505, 94.087
MBRY, 20250506, 95.702
MBRY, 20250507, 94.45
MBRY, 20250508, 95.115
MBRY, 20250509, 94.846
MBRY, 20250510, 95.104
MBRY, 20250511, 95.473
MBRY, 20250512, 98.536
MBRY, 20250513, 94.484
MBWH, 20250423, 99.894
MBWH, 20250424, 99.972
MBWH, 20250425, 99.968
MBWH, 20250426, 99.933
MBWH, 20250427, 99.901
MBWH, 20250428, 99.907
MBWH, 20250429, 99.88
MBWH, 20250430, 99.854
MBWH, 20250501, 99.862
MBWH, 20250502, 99.668
MBWH, 20250503, 99.879
MBWH, 20250504, 99.987
MBWH, 20250505, 99.81
MBWH, 20250506, 99.979
MBWH, 20250507, 99.844
MBWH, 20250508, 99.859
MBWH, 20250509, 99.783
MBWH, 20250510, 99.972
MBWH, 20250511, 99.787
MBWH, 20250512, 99.405
MBWH, 20250513, 62.283
MSS1, 20250423, 99.898
MSS1, 20250424, 99.986
MSS1, 20250425, 99.977
MSS1, 20250426, 99.933
MSS1, 20250427, 99.908
MSS1, 20250428, 99.912
MSS1, 20250429, 99.892
MSS1, 20250430, 99.851
MSS1, 20250501, 99.87
MSS1, 20250502, 99.637
MSS1, 20250503, 99.877
MSS1, 20250504, 99.859
MSS1, 20250505, 99.808
MSS1, 20250506, 99.794
MSS1, 20250507, 99.85
MSS1, 20250508, 99.865
MSS1, 20250509, 99.783
MSS1, 20250510, 99.838
MSS1, 20250511, 99.603
MSS1, 20250512, 99.27
MSS1, 20250513, 97.791
